open,high,low,close,volume
267.4,269.28,265.6201,266.95,2437860
265.45,269.135,265.08,268.41,3198903
266.35,267.98,264.59,266.76,3817937
259.01,267.43,258.61,266.68,4856276
257.6,260.55,256.22,257.82,3635124
254.43,259.58,252.88,258.59,3521389
252.5,253.81,244.65,253.69,4609520
252.51,253.0,247.64,249.2,2901346
255.0,256.52,253.25,254.14,3637012
249.45,254.47,248.832,253.37,3400001
247.76,250.19,246.11,249.12,2900556
243.74,249.8,243.64,249.18,4138168
243.125,245.69,241.33,245.55,3731946
241.44,242.37,237.945,239.66,4243294
236.73,242.47,234.3401,241.82,5142993
237.0,239.98,236.14,239.39,3426508
232.86,236.63,232.07,236.16,3653461
228.95,233.36,226.32,232.41,6700068
231.175,232.78,224.4401,229.33,15428144
246.0,249.34,243.66,245.48,7948259
238.5,242.64,238.02,240.9,4232658
238.065,240.805,232.93,236.22,4908923
239.68,241.775,237.4,238.81,4635204
240.28,243.2999,235.89,238.57,4870299
239.55,241.53,238.27,240.7,3363708
239.77,241.77,236.73,239.06,3321717
229.72,237.58,227.51,235.48,4325895
231.0,232.57,222.02,229.55,5656108
217.12,236.3,215.1636,235.31,7302808
232.56,233.05,217.28,221.03,6849996
219.24,232.29,214.5,225.78,7797889
238.0,240.16,226.88,227.48,7407096
242.71,250.61,242.53,243.49,5309626
248.22,252.79,247.23,249.98,4080832
248.03,250.62,243.49,250.34,4413139
242.74,250.89,242.49,248.66,6794972
246.27,247.57,242.07,244.0,3125594
249.71,250.3,245.725,246.21,2889328
251.25,254.32,249.53,250.34,4452220
248.36,250.9,248.2,249.9,3133809
247.31,248.82,245.965,248.45,4753331
241.69,245.205,238.5,243.87,9580084
244.24,246.8,237.224,243.32,7026796
248.33,253.66,246.64,252.29,3853598
252.51,252.57,245.12,246.95,4172239
249.25,254.63,249.0,252.97,3234149
242.745,248.9499,241.68,248.35,4045284
248.8,249.27,243.04,245.8,3862416
250.35,253.1273,245.53,249.63,3849206
255.99,256.7,245.86,248.95,5630570
261.56,266.45,254.75,256.9,8126234
245.95,261.96,245.1823,261.54,6700184
249.75,252.1,246.8019,248.69,3254358
251.58,252.74,247.0146,251.35,4009813
248.75,255.48,248.1,253.21,5342106
254.735,255.99,248.245,250.19,2977699
250.855,252.8099,246.54,252.44,7988809
255.22,257.63,253.05,253.23,3402234
258.1,258.325,254.4104,255.84,3460124
261.08,263.48,256.77,257.75,6292487
261.5,263.845,259.58,261.87,4398107
263.845,264.83,261.1,261.48,5667874
263.65,265.09,262.15,264.74,4884805
262.0,264.36,260.09,264.32,3718678
261.93,263.965,259.83,263.07,4262812
259.0,261.94,257.91,261.28,3925277
255.66,259.28,254.41,259.19,4531538
252.72,256.4,252.02,255.81,3075308
251.1,256.75,250.58,254.7,4801550
250.86,251.95,246.87,249.27,3564400
255.28,256.93,252.02,252.34,3370284
262.98,263.38,252.73,253.44,6128293
265.71,265.72,261.18,263.3,6165096
260.0,265.25,258.1233,264.46,6077652
252.4,262.06,251.84,260.73,8408523
256.05,257.235,251.89,255.7,7203519
250.0,261.8,247.01,258.27,15381890
225.62,229.47,223.73,228.63,7079804
224.32,225.77,221.77,225.66,4485429
222.19,224.3,219.84,224.13,4898355
225.27,226.8104,223.8,224.8,3233293
223.94,226.04,223.15,226.04,3619651
221.98,224.4,220.35,223.26,4759490
224.99,227.45,222.8302,224.26,3982203
225.955,225.955,223.64,224.79,5506837
219.69,222.68,217.38,222.66,3329060
220.87,221.6761,218.01,220.03,2951825
218.0,218.125,214.61,217.75,3485829
217.89,219.59,214.75,217.4,3716816
222.0,222.43,216.8,219.75,3570497
223.91,224.9,220.83,223.18,2619768
223.35,226.711,222.83,223.96,3299701
223.0,224.35,220.75,222.67,2847128
220.55,223.66,220.55,222.65,3873578
221.82,222.49,217.6,219.94,2579498
220.72,221.0493,218.44,219.83,2270512
220.54,221.5942,217.6523,220.25,2095565
223.14,224.42,221.4054,222.78,1810760
223.31,225.4,222.55,224.89,3287238
222.27,224.4446,221.5428,224.41,1186216
222.81,223.74,221.08,221.93,2988137
222.73,227.6847,221.68,223.36,12423200
224.42,226.2,222.98,223.92,4430120
229.035,229.035,220.03,220.17,4152517
229.23,230.2,227.62,228.97,3651346
230.73,231.03,226.88,229.33,3610257
232.25,233.775,230.26,230.82,2757683
230.66,233.89,230.38,232.26,4515741
232.69,233.0,229.13,230.12,3872680
228.4,234.39,227.8,231.72,4769531
238.0,239.35,228.91,230.0,4970449
234.43,238.38,234.22,238.04,4028430
233.55,236.52,233.46,234.75,4791116
230.0,233.74,229.35,233.49,4104195
227.24,229.11,226.67,229.0,3163815
227.5,228.38,225.51,227.39,2656181
227.75,230.36,227.19,227.41,2640253
228.83,229.19,224.27,226.92,2995121
226.73,228.98,225.5115,228.83,4449543
223.35,226.42,222.65,226.13,7189260
223.35,227.2,220.89,222.97,5320740
215.81,222.63,215.2701,222.4,5236434
211.0,214.96,209.7725,214.6,4562901
206.5,210.33,206.19,210.25,2860746
207.0,208.415,205.3701,208.09,3406045
207.46,208.49,204.07,204.99,3986460
210.0,210.4999,206.35,208.99,6372853
209.5,211.41,209.0701,210.92,3247830
211.9,213.03,209.06,210.86,2818216
214.4,215.41,213.48,213.57,3012987
214.16,216.7,212.7809,213.72,3201038
213.64,214.5199,211.93,213.69,3675812
213.48,214.33,210.37,213.6,3934386
206.17,208.115,205.57,207.57,2441535
207.65,207.7,205.8,206.32,2594119
207.77,209.84,207.41,208.25,3334308
204.13,208.13,203.51,206.72,5925250
209.48,211.12,204.26,204.9,6956624
211.99,213.34,209.85,210.43,5258366
215.5,216.25,212.7,212.91,4993343
216.8,218.65,214.385,214.67,8482235
220.8,221.32,216.16,218.39,11193440
230.41,233.34,230.26,232.75,5791002
231.99,232.97,230.67,232.25,3180807
231.21,232.42,230.26,231.75,2733336
231.92,232.6499,230.17,232.2,4715688
232.0,233.145,230.655,232.88,5040092
232.11,233.88,231.12,233.67,2846669
236.4,237.37,232.71,232.96,3350556
233.57,236.12,233.17,235.26,2524389
233.25,233.44,230.46,233.26,3469322
235.1,235.83,231.81,233.02,3142031
229.2,234.95,228.5,234.3,5083566
228.11,229.345,227.0401,228.62,3245342
225.38,227.67,225.02,227.12,3457952
223.75,226.08,223.27,226.0,3554328
219.5,222.83,219.27,222.72,3788265
218.31,220.2,215.798,219.73,3343399
220.63,221.1,215.9,219.35,3548374
220.65,221.32,219.02,221.08,3544264
223.0,224.15,220.77,220.84,3830335
222.11,224.0,221.355,223.43,2673210
221.17,221.85,220.16,221.23,2537751
219.78,221.19,218.16,220.97,3184114
218.0,220.62,217.27,220.5,4074755
214.33,217.85,213.74,217.7,9958980
218.01,218.48,210.37,213.89,5279559
214.13,216.86,213.59,214.94,3482764
217.25,218.84,213.0,214.13,5635210
215.88,217.9,215.52,217.16,4176257
212.48,216.09,212.13,214.79,4572344
210.0,212.65,208.265,211.61,4616446
207.76,210.12,203.04,209.89,5554309
204.2,205.83,202.87,205.32,3070644
201.94,205.05,201.43,203.53,3705004
202.38,204.1,199.335,200.74,3304491
204.08,205.95,200.96,202.59,3229345
200.76,204.36,200.5,204.11,3111332
201.91,204.72,200.21,201.28,3874697
199.11,202.17,198.73,202.13,4750999
199.3,201.12,198.27,198.9,2989594
199.0,200.0,197.49,198.46,2645244
197.44,199.4,196.97,198.73,2617229
196.0,198.345,195.9,197.98,2567217
196.79,197.38,194.39,196.1,2321961
197.25,197.92,195.57,195.96,1969496
195.97,197.33,194.115,197.21,2579343
194.59,196.21,193.75,196.03,1790371
193.84,195.525,193.715,194.73,2361378
193.58,194.35,192.86,193.78,2494472
193.51,194.25,193.28,193.95,2471985
191.15,193.09,190.73,192.32,1895114
190.29,191.31,189.21,190.99,2178862
191.25,191.5761,189.0001,189.48,2290421
191.18,192.63,189.04,191.45,2773706
187.5,192.88,187.0,192.61,3712698
188.08,189.87,186.7,186.8,3801942
184.7,188.9,183.64,186.8,3632517
184.55,185.255,181.81,183.31,4975002
188.78,189.26,185.7,189.12,4548824
192.81,193.635,188.29,189.66,4085354
191.0,194.5499,189.99,192.14,5558405
191.48,192.77,189.09,191.04,3064978
193.18,193.29,189.18,191.5,3336806
190.51,193.57,189.622,191.75,4294875
186.8,196.26,185.3,191.98,9532802
184.14,185.0714,183.145,184.02,6962071
184.36,185.38,183.01,184.1,2180225
183.4,184.97,182.86,184.15,2488525
186.33,187.0,181.95,183.25,3816039
186.64,189.47,185.1,185.22,3487808
185.44,187.94,185.07,187.45,4225302
184.67,186.6,184.52,185.81,3374526
183.38,184.9,182.6,182.88,2925794
178.56,184.16,178.5,182.83,4785565
177.65,179.44,176.62,178.31,2807145
176.6,178.22,174.45,177.84,3462182
177.6,177.7,175.58,176.48,2513305
176.41,178.59,176.01,177.64,2503038
175.74,176.09,173.95,176.02,2085970
177.88,177.98,175.17,175.73,1649049
174.84,177.485,174.32,177.3,2883275
173.45,176.46,173.38,175.1,3320961
170.85,173.46,170.53,172.95,4193459
171.12,172.5,170.48,170.85,2894001
171.28,172.68,170.41,171.87,2779016
175.14,175.7526,171.42,172.6,4119267
175.0,178.4599,174.15,175.01,4864735
173.97,174.96,171.4,172.46,10182025
174.08,174.28,171.22,173.92,4723078
170.0,170.75,168.38,170.55,3386442
168.76,169.72,167.5,169.5,3239815
168.29,169.47,167.23,169.21,2777717
169.01,169.59,168.335,169.12,3525717
171.35,172.47,168.101,169.0,3522698
169.98,170.0,166.81,169.32,2951251
169.55,170.76,168.88,170.38,3444684
168.18,171.305,168.06,170.01,3475495
167.38,168.44,166.8,168.2,2207263
166.41,167.79,165.78,167.38,3049377
164.6,166.4,163.88,165.81,2594203
166.54,166.78,163.53,165.28,2776058
165.7,166.97,163.84,166.85,4905002
165.56,166.73,164.23,165.63,3852963
168.0,168.63,166.21,167.05,4206576
170.44,171.085,168.65,169.66,2629645
171.48,172.01,170.21,170.89,2587829
175.39,175.46,170.435,170.67,3341335
173.39,174.99,172.76,173.69,3294900
169.94,174.97,169.94,173.47,6459800
169.0,170.16,168.38,169.92,2726261
168.97,169.11,167.33,169.03,2956387
168.26,169.63,167.79,168.97,3492267
167.94,168.35,167.34,168.26,4468823
167.86,168.13,166.48,167.36,2600967
167.5,168.06,166.76,167.56,2414859
167.13,168.07,166.32,167.15,2255370
167.5,167.55,165.88,166.27,4266616
168.01,170.26,167.9,169.9,3522011
169.0,169.29,167.94,168.38,3155260
166.5,168.67,166.38,168.61,4222266
165.0,166.61,164.92,165.71,3400405
164.35,164.88,162.62,164.69,3829853
165.69,166.27,164.3,164.43,4030960
166.49,166.76,165.2605,166.2,6011634
167.4,168.22,166.225,167.43,5263342
167.5,167.87,165.73,167.13,8983796
168.2,172.45,165.66,168.91,16702150
183.17,184.29,181.4,184.1,7616643
182.73,184.68,179.0,182.19,5950229
182.45,183.315,180.45,181.9,3076451
182.43,182.8,180.57,181.58,3037990
182.35,183.46,180.17,181.47,2886733
184.16,184.67,181.78,183.1,3003033
185.59,185.71,182.86,183.75,4473654
185.57,187.48,180.88,181.25,3528140
184.0,185.1699,181.685,182.27,3547378
186.04,186.795,184.58,185.9,2861736
187.42,187.915,185.52,186.04,3081915
190.54,191.25,186.66,189.31,2790673
189.24,190.24,188.9118,189.82,2673611
188.59,190.32,188.02,189.14,2012428
192.0,193.28,187.34,187.94,2924438
188.6,191.35,188.485,190.9,2818910
189.14,189.8,187.6,188.88,2689711
190.0,190.46,188.52,189.83,2362586
190.94,191.9299,190.34,190.96,3742169
189.6,190.96,188.6,190.8,3693305
189.02,190.0,188.5,188.5,4229535
190.26,190.82,188.75,188.79,3718289
192.0,192.985,190.51,190.84,3988398
193.0,193.37,190.01,191.9,6013561
192.87,193.98,191.31,193.96,3238643
191.49,193.58,190.28,193.34,5317341
191.7,193.23,190.32,191.69,5410562
191.99,193.0573,190.7,191.07,8828184
196.95,197.748,192.12,193.43,4102202
197.55,198.1,195.32,196.7,3960737
192.46,199.18,192.15,197.78,5862512
195.09,195.38,190.88,191.73,4712688
196.06,197.77,194.38,195.95,3943113
197.58,198.73,196.14,196.54,4604458
193.5,198.13,192.96,196.16,6945818
192.0,193.94,190.57,191.95,5653641
187.76,193.898,187.6,193.06,7938266
185.49,188.38,185.18,188.2,4018354
186.15,186.8495,184.69,185.03,6458487
184.63,185.37,183.55,185.3,3216345
184.16,185.13,182.62,184.87,3641378
185.6,186.125,184.06,184.13,4620815
184.9,186.455,184.57,185.72,3433800
182.45,184.55,181.93,184.21,5078398
182.56,183.03,178.75,179.7,4728473
187.64,188.77,183.06,183.44,4247181
186.63,188.95,185.9452,187.64,4842840
183.62,186.98,183.62,186.87,4714301
185.0,185.0,182.26,183.57,3173391
184.28,184.77,182.36,183.7,4290453
185.9,186.48,184.03,186.16,4724021
184.44,187.18,183.85,186.34,5064641
182.63,184.55,181.49,184.36,5161185
183.34,184.02,182.625,183.74,4841188
183.55,184.68,183.04,183.41,3338196
185.51,185.78,183.255,183.42,4379602
187.1,187.39,185.615,185.79,4055411
183.63,187.51,182.71,186.9,4669444
187.05,187.65,183.14,183.66,8876055
187.71,188.65,186.77,187.87,4575058
187.46,189.46,186.05,187.14,6107908
191.31,192.3896,186.16,187.42,9895941
184.96,196.9,184.83,190.43,29596239
174.76,174.86,172.9,173.93,7831157
172.9,174.02,172.48,173.94,3983461
172.82,174.45,172.4,172.83,4925964
170.59,171.5791,169.18,171.48,6929079
166.49,166.99,165.04,166.84,3776990
166.79,167.82,165.495,166.08,4288604
165.8,167.25,165.34,166.96,4869635
162.97,165.98,162.355,165.8,4958261
161.02,162.23,160.29,162.16,3778395
160.28,161.34,159.74,161.23,2967852
160.0,160.4837,159.51,160.08,2617186
158.69,161.216,157.885,161.14,3321698
159.91,160.55,158.67,159.16,3698961
160.22,161.81,160.17,160.86,3212004
161.0,161.73,160.08,160.1,4086065
162.83,163.29,160.46,161.5,3825044
163.75,164.18,162.83,163.55,2526169
163.96,163.96,163.4,163.75,2071313
163.14,163.64,162.68,163.46,3006612
162.23,163.31,162.05,163.21,1772443
161.1,162.41,161.0,162.14,2442715
160.59,161.08,159.53,160.78,2982924
161.29,161.8,160.01,160.05,4865797
161.8,162.28,161.32,161.56,3717429
162.23,163.33,161.5766,162.74,3677533
162.3,164.09,162.04,162.23,11016108
162.93,163.499,160.149,162.91,6129804
164.37,164.9653,162.735,163.62,4989141
163.27,166.34,162.92,164.71,5292290
162.68,163.65,161.95,163.51,6077207
160.0,162.04,160.0,161.96,4561342
161.0,161.465,159.97,160.22,3665498
161.59,162.355,160.01,160.28,3356432
160.76,162.47,160.72,161.39,4556668
160.29,162.79,160.29,161.1,5779017
158.41,160.59,158.0,160.55,4871860
156.95,158.6,156.89,158.56,6740622
156.15,157.51,156.02,156.41,3568887
155.44,155.745,154.86,155.65,2666182
154.99,156.135,154.75,155.57,4053093
155.13,155.4,153.92,155.18,1799161
154.5,155.705,154.16,155.13,3045091
154.6,154.66,153.51,153.91,2859508
152.51,154.68,152.35,154.35,3658936
153.29,153.5,152.4601,152.89,4426676
153.0,153.35,152.13,153.06,3519172
150.4,153.22,150.4,152.58,4632519
149.45,150.8063,149.05,150.41,4321940
148.46,148.49,147.35,148.1,2647288
147.44,149.17,146.85,149.02,3179541
146.55,146.99,145.28,146.62,3412713
149.25,149.68,147.585,148.03,3618588
149.03,149.28,148.03,148.83,3549853
147.89,149.225,147.85,148.97,4597249
147.45,148.445,147.28,147.9,3510495
145.77,147.1,144.84,147.01,3902657
145.0,146.51,144.45,145.4,4750081
143.0,144.76,142.59,144.64,6592041
143.19,144.5,142.58,142.63,4204190
143.62,144.7,141.71,142.52,5469227
142.2,144.41,141.58,143.76,11130170
137.5,138.49,136.33,137.08,6472549
136.74,137.98,136.05,137.79,3697975
136.63,137.68,135.87,136.38,3457527
138.15,139.27,137.12,137.16,4865615
138.64,139.405,137.93,138.01,5314159
140.0,140.43,139.58,139.97,3329985
137.12,140.62,136.31,140.32,4172822
139.28,139.78,138.52,139.21,3361468
139.77,140.12,138.27,138.46,4583553
142.51,142.93,140.95,141.24,3921142
142.51,143.34,142.14,143.23,2511459
142.6,143.415,141.72,142.11,3015784
142.3,142.4,140.68,142.2,2354396
141.4,142.94,140.11,142.03,3511347
140.9,141.7,140.19,141.52,3223910
140.37,141.2004,139.99,141.07,2637779
140.87,141.64,140.0,140.39,3284421
140.04,141.45,139.86,140.8,3275461
142.0,142.13,139.61,140.3,5703983
142.14,142.282,140.205,141.58,5783422
143.67,143.82,141.76,143.17,4439121
145.51,146.17,143.0201,143.24,4824654
146.57,147.43,146.25,146.48,2694245
147.41,148.1,146.82,146.91,2562216
149.0,149.25,147.31,147.38,4944786
148.36,151.9299,148.13,149.83,9636681
145.0,146.72,144.66,146.52,3945423
145.77,146.48,145.06,145.09,2508062
147.11,147.85,145.53,145.99,6234033
147.38,147.73,146.48,147.35,2723200
145.95,146.98,145.92,146.55,2627999
147.92,148.0,145.8,146.3,4457695
148.57,148.78,147.58,148.38,3273720
147.35,148.59,147.26,147.68,3722927
148.13,148.78,147.4,147.52,3333040
147.66,148.33,147.12,148.06,2932203
147.91,149.0,147.5719,148.13,3731281
147.26,148.1,146.92,147.94,2727796
146.94,147.7275,146.54,146.83,3885949
146.42,146.92,145.7452,146.86,2245402
146.3,146.73,145.62,146.45,2778113
145.41,146.74,145.21,146.02,3561347
144.18,145.47,143.5,145.35,3660147
143.505,144.47,143.22,143.55,2900244
141.72,143.475,141.58,143.41,2559083
142.66,143.225,141.3,141.49,3557734
141.42,142.39,141.11,142.28,2937781
140.0,141.83,139.76,141.41,3915480
141.01,142.66,140.6,140.66,3742058
141.7,142.09,140.56,140.64,3285347
141.5,142.31,141.2,141.87,3656559
143.05,143.365,141.802,141.91,4226563
143.12,143.45,142.205,143.12,2526433
143.04,144.58,142.69,143.25,4735763
144.94,144.94,142.3,142.49,4073038
145.7,146.15,144.11,145.91,4654582
145.0,146.5,144.93,146.18,3438654
145.09,146.09,143.99,144.24,4223204
143.78,145.22,143.3116,144.45,3952640
142.78,144.3,142.31,144.17,4959381
144.25,144.48,142.17,143.33,4798703
143.81,144.605,143.53,144.18,6138902
143.44,143.95,142.85,143.45,6686627
142.3,143.38,141.9,142.97,6331563
140.44,141.25,139.88,141.07,4046441
139.42,140.43,139.0403,140.33,3770813
139.35,140.12,138.7788,139.54,3475442
138.21,139.7799,137.76,138.94,5858741
137.19,140.32,136.56,138.38,10896330
135.53,136.45,135.19,135.48,5519992
134.71,135.95,134.29,135.36,3852058
133.26,134.61,133.1,134.24,3168419
133.91,133.92,132.94,133.4,2861496
133.51,135.07,133.36,133.92,3221422
135.07,135.33,132.575,132.84,3732189
133.66,134.56,133.23,134.44,2925238
131.76,133.05,131.695,132.9,2369425
131.78,133.855,131.75,132.08,2982738
133.235,133.9,131.55,132.16,3508083
133.32,134.31,132.59,134.24,2955870
133.42,134.35,132.87,133.67,1477149
134.69,135.03,133.425,133.81,4236677
131.75,134.35,131.69,134.06,3639836
132.06,132.17,130.91,131.76,2753779
131.3,132.95,130.83,132.34,3219909
129.39,131.41,129.31,131.34,4845649
130.4,130.62,129.18,129.43,11324705
131.68,132.96,130.68,131.17,6013021
135.11,135.39,133.29,133.69,5501272
136.36,137.23,135.89,135.96,4272511
139.23,139.469,137.47,137.48,7473676
137.27,138.8,137.175,138.4,3812582
137.8,138.93,136.94,137.2,4514888
136.51,138.17,136.0,137.6,3927331
136.0,136.62,135.8216,136.42,4500120
134.36,136.1,134.17,135.3,3981748
134.69,135.98,134.01,134.41,4128939
132.5,134.44,132.19,134.38,5772024
132.43,132.94,131.88,132.69,3297951
133.12,133.58,132.27,132.64,3993516
130.38,133.12,130.15,132.42,5375796
128.44,130.145,127.78,129.82,4136086
128.51,129.44,127.46,128.59,11086313
129.56,130.0699,128.26,129.48,3741050
127.06,129.66,126.81,128.89,5612570
125.61,127.23,125.01,126.76,4102854
127.82,127.9,125.47,125.68,3915505
127.24,129.09,127.13,128.18,4592280
